Label;SkillsCount;SkillsCombinationRarity;SkillsCombinationRarityPerCrewRarity;MaxRarity;VoyRank;GauntletRank;ScienceSkillCore;ScienceSkillRangeMin;ScienceSkillRangeMax;SecuritySkillCore;SecuritySkillRangeMin;SecuritySkillRangeMax;CommandSkillCore;CommandSkillRangeMin;CommandSkillRangeMax;DiplomacySkillCore;DiplomacySkillRangeMin;DiplomacySkillRangeMax;EngineeringSkillCore;EngineeringSkillRangeMin;EngineeringSkillRangeMax;MedicineSkillCore;MedicineSkillRangeMin;MedicineSkillRangeMax;B_CMD;A_CMD;B_SCI;A_SCI;B_SEC;A_SEC;V_CMD_SCI;G_CMD_SCI;V_CMD_SEC;G_CMD_SEC;V_CMD_ENG;G_CMD_ENG;V_CMD_DIP;G_CMD_DIP;V_CMD_MED;G_CMD_MED;V_SCI_SEC;G_SCI_SEC;V_SCI_ENG;G_SCI_ENG;V_SCI_DIP;G_SCI_DIP;V_SCI_MED;G_SCI_MED;V_SEC_ENG;G_SEC_ENG;V_SEC_DIP;G_SEC_DIP;V_SEC_MED;G_SEC_MED;V_ENG_DIP;V_ENG_MED;V_DIP_MED;EventsCount;IsInPortal;DaysFromDateAdded;InCollectionsCount;IsInSeries_ds9;IsInSeries_dsc;IsInSeries_ent;IsInSeries_original;IsInSeries_pic;IsInSeries_tas;IsInSeries_tng;IsInSeries_tos;IsInSeries_voy;ShipBattleAccuracyMax;ShipBattleEvasionMax;ShipBattleCritChanceMax;ShipBattleCritBonusMax;ActionBonusAmount;ActionCooldown;ActionInitialCooldown;ActionDuration;ActionLimit;ActionBonusType;ActionAbilityCondition;ActionAbilityType;ActionAbilityAmount;ActionPenaltyType;ActionPenaltyAmount;TraitsCount;Traits;TraitsHidden
5;3;0.035971224;0.21443737;5;196;106;0;0;0;1052;272;542;512;183;363;946;67;184;0;0;0;0;0;0;375;304;0;0;85;74;384;289;94;25;340;227;149;208;301;219;144;92;560;0;324;671;528;0;124;90;31;61;92;72;291;493;262;39;True;1943;3;True;False;False;False;False;False;False;False;False;915;1525;90;225;6;12;6;10;0;0;0;4;1000;0;0;7;Bajoran,Cardassian,Klingon,Villain,Kca,Brutal,MirrorUniverse;nonhuman,female,organic,ds9,mirror,kira,crew_max_rarity_5
2;2;0.035971224;0.1;2;980;951;0;0;0;326;61;145;205;57;144;0;0;0;0;0;0;0;0;0;591;585;0;0;492;504;960;745;790;504;957;689;963;763;941;644;896;720;999;0;1002;0;998;0;878;629;912;801;867;609;1005;1002;1002;23;True;1943;2;False;False;False;False;False;False;True;False;False;165;155;95;280;4;12;8;10;0;2;0;0;0;1;2;5;Klingon,Federation,Starfleet,Duelist,Investigator;nonhuman,male,organic,tng,lieutenant,bridge_crew,worf,crew_max_rarity_2
7;2;0.035971224;0.1;4;839;317;0;0;0;609;179;394;364;241;488;0;0;0;0;0;0;0;0;0;489;347;0;0;295;268;671;136;364;36;612;99;695;264;583;89;609;258;919;0;950;0;901;0;528;222;672;390;500;199;944;900;929;23;True;1943;1;True;False;False;False;False;False;False;False;False;690;205;325;645;6;12;12;12;0;2;0;4;2000;1;2;5;Klingon,Federation,Starfleet,Duelist,Tactician;nonhuman,male,organic,ds9,lieutenant_commander,bridge_crew,worf,crew_max_rarity_4
6;2;0.035971224;0.1;5;440;214;0;0;0;1062;175;357;861;294;589;0;0;0;0;0;0;0;0;0;201;90;0;0;81;100;295;63;78;18;264;43;402;164;237;41;300;298;693;0;831;0;675;0;256;270;387;434;230;236;821;648;769;34;True;1943;3;True;False;False;False;False;False;False;False;False;300;0;390;980;9;10;8;8;0;0;0;0;0;0;0;7;Klingon,Cardassian,Tactician,Villain,Brutal,Kca,MirrorUniverse;nonhuman,male,organic,ds9,mirror,bridge_crew,worf,crew_max_rarity_5
10;2;0.035971224;0.037037037;1;1017;1021;0;0;0;0;0;0;164;15;58;117;19;60;0;0;0;0;0;0;606;611;0;0;0;0;995;852;993;806;997;801;980;810;990;752;1019;0;1019;0;995;835;1021;0;1019;0;999;874;1021;0;998;1021;992;6;True;1943;1;False;False;False;False;False;False;False;True;False;375;180;0;0;2;12;8;10;0;2;0;0;0;1;1;3;Federation,Starfleet,Human;female,organic,tos,yeoman,bridge_crew,rand,crew_max_rarity_1
7;3;0.035971224;0.21443737;4;681;292;0;0;0;658;150;385;311;83;205;464;170;341;0;0;0;0;0;0;540;517;0;0;269;259;740;608;398;202;677;568;481;209;637;527;518;294;817;0;635;363;797;0;450;269;324;68;418;235;618;795;536;15;False;1943;1;False;False;False;False;False;False;True;False;False;350;500;190;110;9;12;10;20;1;0;0;0;0;0;0;3;Klingon,Scoundrel,Villain;nonhuman,female,organic,tng,betor,lursa,crew_max_rarity_4
6;2;0.035971224;0.054545455;2;967;922;0;0;0;253;94;250;0;0;0;303;39;88;0;0;0;0;0;0;0;0;0;0;527;506;1000;0;901;562;1002;0;932;826;1000;0;888;514;992;0;910;803;993;0;872;465;814;479;856;443;897;995;877;14;True;1943;2;False;False;True;False;False;False;False;False;False;240;0;300;330;2;6;6;10;2;0;0;7;15;0;0;5;Human,Augment,Engineered,Survivalist,Tactician;nonhuman,female,organic,ent,persis,crew_max_rarity_2
5;3;0.02877698;0.036363635;2;947;939;347;52;194;119;8;44;0;0;0;263;30;113;0;0;0;0;0;0;0;0;376;364;557;558;865;683;972;809;999;0;924;818;993;0;808;587;737;437;751;514;717;397;957;728;881;806;948;703;890;984;864;9;True;1943;2;False;False;False;False;False;False;False;False;True;405;180;3;50;3;10;10;12;0;1;2;0;2;0;0;2;Romulan,Astrophysicist;nonhuman,male,organic,voy,captain,bridge_crew,rmor,crew_max_rarity_2
6;3;0.035971224;0.21443737;4;738;366;0;0;0;296;100;256;375;85;222;641;173;418;0;0;0;0;0;0;483;468;0;0;510;480;725;589;536;289;663;543;423;156;626;506;747;496;841;0;573;278;829;0;677;447;416;109;640;428;545;830;474;8;True;1943;2;False;False;False;False;False;False;True;False;False;625;1000;85;465;6;14;14;10;0;1;2;0;3;0;0;4;Klingon,Duelist,Diplomat,Politician;nonhuman,male,organic,tng,gowron,crew_max_rarity_4
9;2;0.035971224;0.1;3;916;958;0;0;0;467;85;185;410;42;84;0;0;0;0;0;0;0;0;0;458;499;0;0;398;416;846;826;618;518;818;762;868;827;791;716;793;620;970;0;983;0;961;0;732;548;840;709;722;531;983;961;974;8;True;1943;1;True;False;False;False;False;False;False;False;False;690;600;597;395;3;8;0;6;0;0;4;4;500;0;0;4;Jemhadar,Dominion,Duelist,Tactician;nonhuman,male,organic,ds9,remataklan,crew_max_rarity_3
